LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 15:00:05 0                 
Time Ampl
-1.46e-012 0
-1.41e-012 0
-1.36e-012 0
-1.31e-012 0
-1.26e-012 0
-1.21e-012 0
-1.16e-012 0
-1.11e-012 0
-1.06e-012 0
-1.01e-012 0
-9.6e-013 0
-9.1e-013 0
-8.6e-013 0
-8.1e-013 0
-7.6e-013 0
-7.1e-013 0
-6.6e-013 0
-6.1e-013 0
-5.6e-013 0
-5.1e-013 0
-4.6e-013 0
-4.1e-013 0
-3.6e-013 0
-3.1e-013 0
-2.6e-013 0
-2.1e-013 0
-1.6e-013 0
-1.1e-013 0
-6e-014 0
-1e-014 0
4e-014 0
9e-014 0
1.4e-013 0
1.9e-013 0
2.4e-013 0
2.9e-013 0
3.4e-013 0
3.9e-013 0
4.4e-013 0
4.9e-013 0
5.4e-013 0
5.9e-013 0
6.4e-013 0
6.9e-013 0
7.4e-013 0
7.9e-013 1
8.4e-013 1
8.9e-013 1
9.4e-013 2
9.9e-013 3
1.04e-012 11
1.09e-012 20
1.14e-012 26
1.19e-012 76
1.24e-012 89
1.29e-012 114
1.34e-012 157
1.39e-012 221
1.44e-012 270
1.49e-012 359
1.54e-012 458
1.59e-012 524
1.64e-012 604
1.69e-012 695
1.74e-012 729
1.79e-012 820
1.84e-012 913
1.89e-012 913
1.94e-012 922
1.99e-012 967
2.04e-012 955
2.09e-012 966
2.14e-012 946
2.19e-012 928
2.24e-012 835
2.29e-012 870
2.34e-012 846
2.39e-012 731
2.44e-012 776
2.49e-012 774
2.54e-012 733
2.59e-012 698
2.64e-012 679
2.69e-012 672
2.74e-012 712
2.79e-012 665
2.84e-012 627
2.89e-012 601
2.94e-012 624
2.99e-012 632
3.04e-012 572
3.09e-012 588
3.14e-012 598
3.19e-012 590
3.24e-012 543
3.29e-012 589
3.34e-012 558
3.39e-012 532
3.44e-012 523
3.49e-012 545
3.54e-012 533
3.59e-012 569
3.64e-012 527
3.69e-012 580
3.74e-012 573
3.79e-012 551
3.84e-012 538
3.89e-012 557
3.94e-012 543
3.99e-012 568
4.04e-012 530
4.09e-012 570
4.14e-012 564
4.19e-012 597
4.24e-012 615
4.29e-012 601
4.34e-012 633
4.39e-012 626
4.44e-012 626
4.49e-012 667
4.54e-012 629
4.59e-012 648
4.64e-012 686
4.69e-012 810
4.74e-012 787
4.79e-012 757
4.84e-012 759
4.89e-012 801
4.94e-012 806
4.99e-012 793
5.04e-012 890
5.09e-012 920
5.14e-012 894
5.19e-012 882
5.24e-012 877
5.29e-012 865
5.34e-012 822
5.39e-012 790
5.44e-012 671
5.49e-012 667
5.54e-012 571
5.59e-012 503
5.64e-012 426
5.69e-012 407
5.74e-012 313
5.79e-012 247
5.84e-012 187
5.89e-012 143
5.94e-012 93
5.99e-012 61
6.04e-012 47
6.09e-012 35
6.14e-012 23
6.19e-012 17
6.24e-012 12
6.29e-012 4
6.34e-012 4
6.39e-012 1
6.44e-012 0
6.49e-012 1
6.54e-012 1
6.59e-012 0
6.64e-012 0
6.69e-012 0
6.74e-012 0
6.79e-012 0
6.84e-012 0
6.89e-012 0
6.94e-012 0
6.99e-012 0
7.04e-012 0
7.09e-012 0
7.14e-012 0
7.19e-012 0
7.24e-012 0
7.29e-012 0
7.34e-012 0
7.39e-012 0
7.44e-012 0
7.49e-012 0
7.54e-012 0
7.59e-012 0
7.64e-012 0
7.69e-012 0
7.74e-012 0
7.79e-012 0
7.84e-012 0
7.89e-012 0
7.94e-012 0
7.99e-012 0
8.04e-012 0
8.09e-012 0
8.14e-012 0
8.19e-012 0
8.24e-012 0
8.29e-012 0
8.34e-012 0
8.39e-012 0
8.44e-012 0
8.49e-012 0
