LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 15:15:54 0                 
Time Ampl
-1.66e-012 0
-1.61e-012 0
-1.56e-012 0
-1.51e-012 0
-1.46e-012 0
-1.41e-012 0
-1.36e-012 0
-1.31e-012 0
-1.26e-012 0
-1.21e-012 0
-1.16e-012 0
-1.11e-012 0
-1.06e-012 0
-1.01e-012 0
-9.6e-013 0
-9.1e-013 0
-8.6e-013 0
-8.1e-013 0
-7.6e-013 0
-7.1e-013 0
-6.6e-013 0
-6.1e-013 0
-5.6e-013 0
-5.1e-013 0
-4.6e-013 0
-4.1e-013 0
-3.6e-013 0
-3.1e-013 0
-2.6e-013 0
-2.1e-013 0
-1.6e-013 0
-1.1e-013 0
-6e-014 0
-1e-014 0
4e-014 0
9e-014 0
1.4e-013 0
1.9e-013 0
2.4e-013 0
2.9e-013 0
3.4e-013 0
3.9e-013 0
4.4e-013 0
4.9e-013 0
5.4e-013 0
5.9e-013 0
6.4e-013 0
6.9e-013 0
7.4e-013 1
7.9e-013 0
8.4e-013 0
8.9e-013 0
9.4e-013 1
9.9e-013 0
1.04e-012 3
1.09e-012 13
1.14e-012 19
1.19e-012 33
1.24e-012 65
1.29e-012 77
1.34e-012 130
1.39e-012 167
1.44e-012 238
1.49e-012 316
1.54e-012 411
1.59e-012 513
1.64e-012 563
1.69e-012 583
1.74e-012 682
1.79e-012 663
1.84e-012 728
1.89e-012 729
1.94e-012 732
1.99e-012 751
2.04e-012 685
2.09e-012 674
2.14e-012 671
2.19e-012 610
2.24e-012 574
2.29e-012 565
2.34e-012 524
2.39e-012 493
2.44e-012 511
2.49e-012 455
2.54e-012 430
2.59e-012 454
2.64e-012 433
2.69e-012 432
2.74e-012 372
2.79e-012 461
2.84e-012 386
2.89e-012 433
2.94e-012 455
2.99e-012 412
3.04e-012 380
3.09e-012 399
3.14e-012 390
3.19e-012 355
3.24e-012 389
3.29e-012 363
3.34e-012 385
3.39e-012 366
3.44e-012 421
3.49e-012 406
3.54e-012 376
3.59e-012 389
3.64e-012 385
3.69e-012 379
3.74e-012 398
3.79e-012 421
3.84e-012 450
3.89e-012 458
3.94e-012 414
3.99e-012 461
4.04e-012 423
4.09e-012 445
4.14e-012 481
4.19e-012 465
4.24e-012 459
4.29e-012 499
4.34e-012 545
4.39e-012 484
4.44e-012 534
4.49e-012 519
4.54e-012 540
4.59e-012 566
4.64e-012 539
4.69e-012 526
4.74e-012 551
4.79e-012 473
4.84e-012 470
4.89e-012 486
4.94e-012 458
4.99e-012 451
5.04e-012 428
5.09e-012 464
5.14e-012 428
5.19e-012 437
5.24e-012 376
5.29e-012 385
5.34e-012 356
5.39e-012 316
5.44e-012 311
5.49e-012 243
5.54e-012 223
5.59e-012 176
5.64e-012 134
5.69e-012 129
5.74e-012 94
5.79e-012 58
5.84e-012 39
5.89e-012 24
5.94e-012 11
5.99e-012 11
6.04e-012 7
6.09e-012 1
6.14e-012 0
6.19e-012 0
6.24e-012 0
6.29e-012 1
6.34e-012 0
6.39e-012 0
6.44e-012 0
6.49e-012 0
6.54e-012 0
6.59e-012 0
6.64e-012 0
6.69e-012 0
6.74e-012 0
6.79e-012 0
6.84e-012 0
6.89e-012 0
6.94e-012 0
6.99e-012 0
7.04e-012 0
7.09e-012 0
7.14e-012 0
7.19e-012 0
7.24e-012 0
7.29e-012 0
7.34e-012 0
7.39e-012 0
7.44e-012 0
7.49e-012 0
7.54e-012 0
7.59e-012 0
7.64e-012 0
7.69e-012 0
7.74e-012 0
7.79e-012 0
7.84e-012 0
7.89e-012 0
7.94e-012 0
7.99e-012 0
8.04e-012 0
8.09e-012 0
8.14e-012 0
8.19e-012 0
8.24e-012 0
8.29e-012 0
