LECROYWM808Zi-A 0 Histogram
Segments 1 SegmentSize 200
Segment TrigTime TimeSinceSegment1
#1 17-Aug-2023 12:46:57 0                 
Time Ampl
-5.84e-012 0
-5.74e-012 0
-5.64e-012 0
-5.54e-012 0
-5.44e-012 0
-5.34e-012 0
-5.24e-012 0
-5.14e-012 0
-5.04e-012 0
-4.94e-012 0
-4.84e-012 0
-4.74e-012 0
-4.64e-012 0
-4.54e-012 0
-4.44e-012 0
-4.34e-012 0
-4.24e-012 0
-4.14e-012 0
-4.04e-012 0
-3.94e-012 0
-3.84e-012 0
-3.74e-012 0
-3.64e-012 0
-3.54e-012 0
-3.44e-012 0
-3.34e-012 0
-3.24e-012 0
-3.14e-012 0
-3.04e-012 0
-2.94e-012 0
-2.84e-012 0
-2.74e-012 0
-2.64e-012 0
-2.54e-012 0
-2.44e-012 0
-2.34e-012 0
-2.24e-012 0
-2.14e-012 0
-2.04e-012 0
-1.94e-012 0
-1.84e-012 0
-1.74e-012 0
-1.64e-012 0
-1.54e-012 0
-1.44e-012 0
-1.34e-012 0
-1.24e-012 0
-1.14e-012 0
-1.04e-012 0
-9.4e-013 0
-8.4e-013 0
-7.4e-013 0
-6.4e-013 0
-5.4e-013 0
-4.4e-013 0
-3.4e-013 0
-2.4e-013 0
-1.4e-013 0
-4e-014 2
6e-014 9
1.6e-013 23
2.6e-013 70
3.6e-013 142
4.6e-013 242
5.6e-013 414
6.6e-013 546
7.6e-013 675
8.6e-013 819
9.6e-013 849
1.06e-012 854
1.16e-012 857
1.26e-012 728
1.36e-012 745
1.46e-012 668
1.56e-012 661
1.66e-012 644
1.76e-012 584
1.86e-012 496
1.96e-012 554
2.06e-012 495
2.16e-012 468
2.26e-012 424
2.36e-012 434
2.46e-012 478
2.56e-012 452
2.66e-012 404
2.76e-012 403
2.86e-012 404
2.96e-012 395
3.06e-012 383
3.16e-012 398
3.26e-012 402
3.36e-012 410
3.46e-012 383
3.56e-012 389
3.66e-012 377
3.76e-012 421
3.86e-012 398
3.96e-012 402
4.06e-012 389
4.16e-012 378
4.26e-012 417
4.36e-012 389
4.46e-012 399
4.56e-012 377
4.66e-012 374
4.76e-012 374
4.86e-012 423
4.96e-012 391
5.06e-012 451
5.16e-012 418
5.26e-012 444
5.36e-012 477
5.46e-012 450
5.56e-012 442
5.66e-012 483
5.76e-012 468
5.86e-012 541
5.96e-012 551
6.06e-012 581
6.16e-012 621
6.26e-012 587
6.36e-012 658
6.46e-012 678
6.56e-012 692
6.66e-012 710
6.76e-012 659
6.86e-012 720
6.96e-012 638
7.06e-012 659
7.16e-012 582
7.26e-012 522
7.36e-012 506
7.46e-012 437
7.56e-012 309
7.66e-012 234
7.76e-012 141
7.86e-012 87
7.96e-012 36
8.06e-012 19
8.16e-012 6
8.26e-012 1
8.36e-012 0
8.46e-012 0
8.56e-012 0
8.66e-012 0
8.76e-012 0
8.86e-012 0
8.96e-012 0
9.06e-012 0
9.16e-012 0
9.26e-012 0
9.36e-012 0
9.46e-012 0
9.56e-012 0
9.66e-012 0
9.76e-012 0
9.86e-012 0
9.96e-012 0
1.006e-011 0
1.016e-011 0
1.026e-011 0
1.036e-011 0
1.046e-011 0
1.056e-011 0
1.066e-011 0
1.076e-011 0
1.086e-011 0
1.096e-011 0
1.106e-011 0
1.116e-011 0
1.126e-011 0
1.136e-011 0
1.146e-011 0
1.156e-011 0
1.166e-011 0
1.176e-011 0
1.186e-011 0
1.196e-011 0
1.206e-011 0
1.216e-011 0
1.226e-011 0
1.236e-011 0
1.246e-011 0
1.256e-011 0
1.266e-011 0
1.276e-011 0
1.286e-011 0
1.296e-011 0
1.306e-011 0
1.316e-011 0
1.326e-011 0
1.336e-011 0
1.346e-011 0
1.356e-011 0
1.366e-011 0
1.376e-011 0
1.386e-011 0
1.396e-011 0
1.406e-011 0
